Event_ID,Source,Source_Date,Notes
EVT_014,Reuters,2025-08-13/14,Tianjin blasts disrupted tanker traffic and unloading at port
EVT_015,Reuters,2016-08-31 / 2017-02-17,Hanjin receivership/bankruptcy stranded container vessels and cargo
EVT_016,Reuters,2017-08-28 to 2017-09-01,Harvey shut refining capacity and major Texas ports
ECO_005,Reuters,2018-07-06,US and China imposed first major reciprocal tariffs
EVT_017,Reuters / EIA,2018-07-31 / 2018-10-30,Low Rhine water forced partial loading and raised freight costs
EVT_018,Reuters,2019-04-30 / 2019-05-08,Contaminated crude halted Druzhba flows into Europe
EVT_019,Reuters,2021-06-03,Yantian export backlog and vessel queue
EVT_020,Reuters,2021-08-11 to 2021-08-25,Ningbo Meishan terminal shut for two weeks
EVT_021,Reuters,2022-04-13 / 2022-05-01,"Shanghai lockdown clogged ports, highways, and meat/logistics trade"
EVT_022,Reuters,2022-02-24 / 2022-05-02,Ukraine suspended port shipping after invasion
EVT_023,Reuters,2023-07-17,Black Sea grain deal expired after Russia quit
